"Score" "Group"
"1" -0.375318626676757 1
"2" 1.48913514805111 1
"3" 1.48473974771439 1
"4" -0.670648737490148 1
"5" -0.861073357259176 1
"6" -0.00393350745402833 1
"7" -0.20628694930349 1
"8" -1.67622403513715 1
"9" -0.286107552898283 1
"10" -0.00883743001548946 1
"11" 0.121100442122065 1
"12" 1.5148167091563 1
"13" 0.650565445910532 1
"14" 1.96509742593882 1
"15" 0.100478405207482 1
"16" -0.804537787220672 1
"17" -0.451708836072007 1
"18" -0.206954436438549 1
"19" 2.23581164726176 1
"20" -2.25892069267359 1
"21" -0.75852769693993 2
"22" -5.69593307014312 2
"23" -0.424696073064731 2
"24" -0.640627082260065 2
"25" -0.878506262625733 2
"26" -0.953413862303237 2
"27" -1.21170585549195 2
"28" -2.30824388073209 2
"29" -0.568444370989201 2
"30" -0.877832493719934 2
"31" -0.233792895569334 2
"32" -0.735103792989195 2
"33" -0.472011941666246 2
"34" -0.711199903225037 2
"35" -0.711277416461988 2
"36" -0.663490505882081 2
"37" -0.615882472002831 2
"38" -1.09250242217565 2
"39" -0.901769177545879 2
"40" -0.496231846934894 2
"41" -1.71171095920147 3
"42" -0.710173046728886 3
"43" 0.339789987033151 3
"44" -1.2696061127441 3
"45" -0.353123879345567 3
"46" -1.75643667232039 3
"47" -1.19127308811633 3
"48" -1.6401521135917 3
"49" -1.82415332422472 3
"50" -16.7257298180434 3
"51" -2.23284470462669 3
"52" -0.550380164877631 3
"53" -0.201179504853303 3
"54" -1.11951290825973 3
"55" -1.0118126509545 3
"56" 0.835371699183956 3
"57" -0.805704197927531 3
"58" -0.754584765351884 3
"59" 1.57175395911343 3
"60" -1.63973075688588 3
